;;Skipper / Bateau;Heure FR;Latitude;Longitude;Cap;Vitesse;VMG;Distance
1;"FRA
FRA 2030";"Paul Meilhat
Biotherm";"14:02 FR
";46°25.94'N;01°50.17'W;205°;0.2 kts;0.2 kts;4.6 nm
2;"GBR
FRA 100";"Sam Goodchild
VULNERABLE";"14:02 FR
";46°26.02'N;01°50.14'W;205°;0.2 kts;0.2 kts;4.6 nm
3;"FRA
FRA 172";"Louis Duc
Fives Group - Lantana Environnement";"14:02 FR
";46°26.01'N;01°50.01'W;204°;0.2 kts;0.2 kts;4.5 nm
4;"FRA
FRA 56";"Fabrice Amedeo
Nexans - Wewise";"14:02 FR
";46°26.05'N;01°50.02'W;204°;0.2 kts;0.1 kts;4.5 nm
5;"FRA
FRA 53";"Maxime Sorel
V and B - Monbana - Mayenne";"14:02 FR
";46°26.08'N;01°50.03'W;204°;0.2 kts;0.1 kts;4.4 nm
6;"FRA
FRA 30";"Benjamin Ferré
Monnoyeur - DUO for a JOB";"14:02 FR
";46°26.19'N;01°50.02'W;205°;0.2 kts;0.1 kts;4.3 nm
7;"FRA
FRA 09";"Benjamin Dutreux
GUYOT environnement - Water Family";"14:02 FR
";46°26.34'N;01°50.06'W;206°;0.2 kts;0.1 kts;4.2 nm
8;"GER
MON 1297";"Boris Herrmann
Malizia - Seaexplorer";"14:02 FR
";46°26.32'N;01°50.03'W;205°;0.2 kts;0.1 kts;4.2 nm
9;"BEL
BEL 207";"Denis Van Weynbergh
D'Ieteren Group";"14:02 FR
";46°26.44'N;01°50.09'W;207°;0.2 kts;0.1 kts;4.1 nm
10;"HUN
HUN 23";"Szabolcs Weöres
New Europe";"14:02 FR
";46°26.95'N;01°50.49'W;214°;0.2 kts;0.1 kts;3.8 nm
11;"FRA
FRA 1461";"Antoine Cornic
HUMAN Immobilier";"14:02 FR
";46°26.50'N;01°50.12'W;208°;0.2 kts;0.1 kts;4.1 nm
12;"FRA
FRA 01";"Violette Dorange
DeVenir";"14:02 FR
";46°26.18'N;01°49.85'W;203°;0.2 kts;0.1 kts;4.4 nm
13;"FRA
FRA 1000";"Tanguy Le Turquais
Lazare";"13:58 FR
-4min";46°26.36'N;01°50.00'W;206°;0.2 kts;0.1 kts;4.2 nm
14;"GBR
GBR 777";"Pip Hare
Medallia";"14:02 FR
";46°26.53'N;01°50.13'W;207°;0.2 kts;0.1 kts;4.0 nm
15;"SUI
SUI 49";"Oliver Heer
Tut gut.";"14:02 FR
";46°26.90'N;01°50.43'W;213°;0.2 kts;0.1 kts;3.9 nm
16;"FRA
FRA 15";"Clarisse Crémer
L'Occitane en Provence";"14:02 FR
";46°26.84'N;01°50.36'W;212°;0.2 kts;0.1 kts;3.9 nm
17;"FRA
FRA85";"Nicolas Lunven
HOLCIM - PRB";"14:02 FR
";46°26.56'N;01°50.11'W;207°;0.2 kts;0.1 kts;4.0 nm
18;"FRA
FRA 71";"Manuel Cousin
Coup de Pouce";"14:02 FR
";46°26.58'N;01°50.10'W;208°;0.2 kts;0.1 kts;4.0 nm
19;"CHN
CHN 5";"Jingkun Xu
Singchain Team Haikou";"14:02 FR
";46°26.55'N;01°50.02'W;207°;0.2 kts;0.1 kts;4.0 nm
20;"FRA
FRA 29";"Jean Le Cam
Tout commence en Finistère - Armor-lux";"14:02 FR
";46°26.10'N;01°49.65'W;201°;0.2 kts;0.1 kts;4.3 nm
21;"FRA
FRA 59";"Thomas Ruyant
VULNERABLE";"14:02 FR
";46°26.60'N;01°50.03'W;207°;0.2 kts;0.1 kts;4.0 nm
22;"ITA
ITA 34";"Giancarlo Pedote
Prysmian";"14:02 FR
";46°26.86'N;01°50.23'W;211°;0.2 kts;0.1 kts;3.8 nm
23;"FRA
FRA 10";"Romain Attanasio
Fortinet - Best Western";"14:02 FR
";46°26.88'N;01°50.19'W;211°;0.2 kts;0.1 kts;3.8 nm
24;"SUI
FRA 08";"Justine Mettraux
TeamWork - Team Snef";"14:02 FR
";46°27.18'N;01°50.39'W;215°;0.2 kts;0.1 kts;3.6 nm
25;"FRA
FRA 3";"Jérémie Beyou
Charal";"14:02 FR
";46°26.91'N;01°50.16'W;211°;0.2 kts;0.1 kts;3.8 nm
26;"JPN
JPN 11";"Kojiro Shiraishi
DMG MORI Global One";"14:02 FR
";46°26.91'N;01°50.09'W;210°;0.2 kts;0.1 kts;3.8 nm
27;"GBR
FRA 109";"Samantha Davies
Initiatives-Cœur";"14:02 FR
";46°26.99'N;01°50.14'W;211°;0.2 kts;0.1 kts;3.6 nm
28;"FRA
FRA 17";"Yannick Bestaven
Maître CoQ V";"14:02 FR
";46°27.01'N;01°50.05'W;210°;0.1 kts;0.1 kts;3.6 nm
29;"FRA
FRA 22";"Guirec Soudée
Freelance.com";"14:02 FR
";46°26.29'N;01°49.42'W;200°;0.2 kts;0.1 kts;4.1 nm
30;"FRA
FRA 13";"Damien Seguin
Groupe APICIL";"14:02 FR
";46°27.12'N;01°49.71'W;208°;0.1 kts;0.1 kts;3.4 nm
31;"FRA
FRA 79";"Charlie Dalin
MACIF Santé Prévoyance";"14:02 FR
";46°27.05'N;01°49.23'W;202°;0.1 kts;0.1 kts;3.3 nm
32;"FRA
FRA 112";"Sébastien Simon
Groupe Dubreuil";"14:02 FR
";46°27.17'N;01°49.30'W;204°;0.1 kts;0.1 kts;3.3 nm
33;"FRA
FRA 83";"Sébastien Marsset
FOUSSIER";"14:02 FR
";46°27.25'N;01°49.28'W;204°;0.1 kts;0.1 kts;3.2 nm
34;"FRA
FRA 5";"Éric Bellion
STAND AS ONE";"14:02 FR
";46°27.49'N;01°49.42'W;207°;0.1 kts;0.1 kts;2.9 nm
35;"FRA
FRA 24";"Yoann Richomme
PAPREC ARKÉA";"14:02 FR
";46°27.18'N;01°49.15'W;203°;0.1 kts;0.1 kts;3.2 nm
36;"FRA
FRA 27";"Isabelle Joschke
MACSF";"14:02 FR
";46°27.24'N;01°49.18'W;203°;0.1 kts;0.1 kts;3.1 nm
37;"SUI
SUI 7";"Alan Roura
Hublot";"14:02 FR
";46°27.21'N;01°49.15'W;203°;0.1 kts;0.1 kts;3.2 nm
38;"FRA
FRA 18";"Louis Burton
Bureau Vallée";"14:02 FR
";46°27.36'N;01°49.24'W;205°;0.1 kts;0.1 kts;3.1 nm
39;"FRA
FRA 14";"Arnaud Boissières
La Mie Câline";"14:02 FR
";46°27.23'N;01°49.05'W;201°;0.1 kts;0.1 kts;3.1 nm
40;"NZL
NZL 64";"Conrad Colman
MS Amlin";"14:02 FR
";46°28.44'N;01°47.22'W;178°;0.1 kts;0.0 kts;1.7 nm
