;;Skipper / Bateau;Heure FR;Latitude;Longitude;Cap;Vitesse;VMG;Distance
1;"FRA
FRA 79";"Charlie Dalin
MACIF Santé Prévoyance";"02:30 FR
";41°59.33'N;10°30.24'W;233°;14.5 kts;13.3 kts;348.3 nm
2;"GBR
FRA 100";"Sam Goodchild
VULNERABLE";"02:30 FR
";42°18.11'N;09°56.83'W;234°;13.4 kts;12.1 kts;320.9 nm
3;"FRA
FRA 112";"Sébastien Simon
Groupe Dubreuil";"02:30 FR
";42°30.84'N;10°30.78'W;236°;13.7 kts;12.1 kts;328.7 nm
4;"FRA
FRA 3";"Jérémie Beyou
Charal";"02:30 FR
";42°27.57'N;10°09.87'W;234°;13.7 kts;12.4 kts;329.9 nm
5;"FRA
FRA 24";"Yoann Richomme
PAPREC ARKÉA";"02:30 FR
";42°41.78'N;10°44.51'W;242°;15.0 kts;12.6 kts;351.5 nm
6;"FRA
FRA 59";"Thomas Ruyant
VULNERABLE";"02:30 FR
";42°30.83'N;09°48.82'W;234°;13.2 kts;11.9 kts;316.3 nm
7;"FRA
FRA 18";"Louis Burton
Bureau Vallée";"02:30 FR
";42°38.31'N;09°37.00'W;236°;13.0 kts;11.6 kts;312.0 nm
8;"FRA
FRA 2030";"Paul Meilhat
Biotherm";"02:30 FR
";42°53.97'N;09°38.68'W;237°;12.3 kts;10.8 kts;294.9 nm
9;"FRA
FRA 17";"Yannick Bestaven
Maître CoQ V";"02:30 FR
";43°16.95'N;10°27.30'W;243°;12.9 kts;10.6 kts;310.0 nm
10;"FRA
FRA 30";"Benjamin Ferré
Monnoyeur - DUO for a JOB";"02:30 FR
";42°59.35'N;09°22.57'W;236°;11.9 kts;10.5 kts;285.3 nm
11;"NZL
NZL 64";"Conrad Colman
MS Amlin";"02:30 FR
";43°00.22'N;09°24.26'W;236°;11.9 kts;10.5 kts;284.9 nm
12;"FRA
FRA 172";"Louis Duc
Fives Group - Lantana Environnement";"02:30 FR
";43°01.87'N;09°28.29'W;237°;11.9 kts;10.5 kts;285.4 nm
13;"FRA
FRA 15";"Clarisse Crémer
L'Occitane en Provence";"02:30 FR
";43°09.18'N;09°27.40'W;238°;11.8 kts;10.3 kts;283.2 nm
14;"FRA
FRA 29";"Jean Le Cam
Tout commence en Finistère - Armor-lux";"02:30 FR
";43°09.71'N;09°25.60'W;238°;11.7 kts;10.2 kts;280.3 nm
15;"FRA
FRA 83";"Sébastien Marsset
FOUSSIER";"02:30 FR
";43°10.42'N;09°19.61'W;238°;11.4 kts;10.0 kts;273.5 nm
16;"FRA
FRA 09";"Benjamin Dutreux
GUYOT environnement - Water Family";"02:30 FR
";43°16.04'N;09°35.98'W;242°;12.6 kts;10.6 kts;302.3 nm
17;"GBR
FRA 109";"Samantha Davies
Initiatives-Cœur";"02:30 FR
";43°17.17'N;09°17.87'W;240°;11.9 kts;10.3 kts;286.7 nm
18;"FRA
FRA 1461";"Antoine Cornic
HUMAN Immobilier";"02:30 FR
";43°26.52'N;09°04.84'W;238°;11.5 kts;10.0 kts;275.2 nm
19;"SUI
FRA 08";"Justine Mettraux
TeamWork - Team Snef";"02:30 FR
";44°02.45'N;11°13.13'W;252°;13.3 kts;9.6 kts;320.3 nm
20;"FRA
FRA 13";"Damien Seguin
Groupe APICIL";"02:30 FR
";43°32.78'N;09°18.25'W;240°;11.7 kts;9.9 kts;279.6 nm
21;"JPN
JPN 11";"Kojiro Shiraishi
DMG MORI Global One";"02:30 FR
";43°30.97'N;09°11.89'W;242°;11.6 kts;9.7 kts;279.3 nm
22;"FRA
FRA 22";"Guirec Soudée
Freelance.com";"02:30 FR
";43°32.96'N;09°04.22'W;242°;10.8 kts;9.1 kts;259.9 nm
23;"ITA
ITA 34";"Giancarlo Pedote
Prysmian";"02:30 FR
";43°36.29'N;09°11.65'W;243°;11.3 kts;9.4 kts;272.3 nm
24;"FRA
FRA 53";"Maxime Sorel
V and B - Monbana - Mayenne";"02:30 FR
";43°45.89'N;09°44.40'W;246°;11.9 kts;9.4 kts;284.8 nm
25;"GBR
GBR 777";"Pip Hare
Medallia";"02:30 FR
";43°37.40'N;09°10.91'W;244°;11.3 kts;9.3 kts;270.9 nm
26;"GER
MON 1297";"Boris Herrmann
Malizia - Seaexplorer";"02:30 FR
";43°53.60'N;09°56.78'W;245°;12.3 kts;9.9 kts;296.3 nm
27;"FRA
FRA 1000";"Tanguy Le Turquais
Lazare";"02:30 FR
";43°46.39'N;09°29.28'W;247°;11.9 kts;9.4 kts;285.9 nm
28;"FRA
FRA 56";"Fabrice Amedeo
Nexans - Wewise";"02:30 FR
";43°36.27'N;08°51.74'W;241°;10.7 kts;10.7 kts;257.0 nm
29;"FRA
FRA 10";"Romain Attanasio
Fortinet - Best Western";"02:30 FR
";43°56.46'N;09°46.11'W;249°;11.4 kts;8.8 kts;274.7 nm
30;"FRA
FRA85";"Nicolas Lunven
HOLCIM - PRB";"02:30 FR
";44°28.30'N;11°46.88'W;257°;14.5 kts;9.6 kts;348.6 nm
31;"FRA
FRA 01";"Violette Dorange
DeVenir";"02:30 FR
";43°47.77'N;09°10.94'W;246°;10.6 kts;8.4 kts;254.1 nm
32;"FRA
FRA 27";"Isabelle Joschke
MACSF";"02:30 FR
";43°45.69'N;09°02.73'W;240°;11.0 kts;9.4 kts;264.0 nm
33;"FRA
FRA 5";"Éric Bellion
STAND AS ONE";"02:30 FR
";43°43.16'N;08°48.89'W;239°;10.6 kts;10.5 kts;253.2 nm
34;"FRA
FRA 71";"Manuel Cousin
Coup de Pouce";"02:30 FR
";43°53.07'N;09°03.72'W;244°;10.9 kts;8.9 kts;261.3 nm
35;"FRA
FRA 14";"Arnaud Boissières
La Mie Câline";"02:30 FR
";44°09.04'N;09°41.57'W;250°;11.2 kts;8.4 kts;267.8 nm
36;"SUI
SUI 7";"Alan Roura
Hublot";"02:30 FR
";44°16.50'N;09°49.29'W;252°;11.8 kts;8.6 kts;284.2 nm
37;"SUI
SUI 49";"Oliver Heer
Tut gut.";"02:30 FR
";44°06.76'N;09°09.73'W;249°;10.6 kts;8.1 kts;254.2 nm
38;"BEL
BEL 207";"Denis Van Weynbergh
D'Ieteren Group";"02:30 FR
";43°48.05'N;08°11.39'W;242°;9.9 kts;9.9 kts;236.9 nm
39;"HUN
HUN 23";"Szabolcs Weöres
New Europe";"02:30 FR
";44°06.81'N;08°41.20'W;248°;10.3 kts;8.0 kts;246.2 nm
40;"CHN
CHN 5";"Jingkun Xu
Singchain Team Haikou";"02:30 FR
";43°50.89'N;08°07.46'W;245°;9.9 kts;9.9 kts;237.7 nm
